,Enzyme:,Reaction:,Reference:,Reference ID:,PMID,DOI,T [K],pH,Keq,Km',Experimental conditions,Ionic strength [molal],Enthalpy [kJ/mol],solutes [mol/dm^3],Buffer:,-log[Mg+2],EC Value:,Method:,Ionic strength [mol/dm^3],solutes [molal]
2125, phosphohydrolase (unclassified), ethylene phosphate(aq) + H2O(l) = 2-hydroxyethyl phosphate(aq),Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_843, , ,298.15,7.3, , , , ,-69.5, , Pipes (0.05 mol dm-3) and Tris (0.05 mol dm-3), ,3.1.4.-, calorimetry, , 
2126, phosphohydrolase (unclassified), tetramethylene phosphate(aq) + H2O(l) = 4-hydroxybutyl phosphate(aq),Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_847, , ,298.15,7.3, , , , ,-19.6, , Pipes (0.05 mol dm-3), ,3.1.4.-, calorimetry, , 
2127, phosphohydrolase (unclassified), trimethylene phosphate(aq) + H2O(l) = 3-hydroxypropyl phosphate(aq),Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_849, , ,298.15,7.3, , , , ,-24.8, , Pipes (0.05 mol dm-3) and Tris (0.05 mol dm-3), ,3.1.4.-, calorimetry, , 
2128, phosphohydrolase (unclassified), trimethylene phosphate(aq) + H2O(l) = 3-hydroxypropyl phosphate(aq),Sturtevant J.M.; Gerlt J.A.; Westheimer F.H.; J. Am. Chem. Soc.; 95 8168 (1973).,73STU/GER_849, , ,298.15,7.3, , , , ,-54.4, , Pipes (0.05 mol dm-3) and Tris (0.05 mol dm-3), ,3.1.4.-, calorimetry, , 
2129," pyruvate,orthophosphate dikinase", ATP(aq) + pyruvate(aq) + orthophosphate(aq) = AMP(aq) + phosphoenolpyruvate(aq) + pyrophosphate(aq),Sugiyama T.; Biochemistry; 12 2862 (1973).,73SUG_714,4719122,10.1021/bi00739a014,298.15,7.24, , , , , , , , ,2.7.9.1, enzymatic assay and spectrophotometry, , 
2130, methenyltetrahydrofolate cyclohydrolase," 5,10-methenyltetrahydrofolate(aq) + H2O(l) = 10-formyltetrahydrofolate(aq)",Suzuki N.; Iwai K.; Plant Cell Physiol.; 14 319 (1973).,73SUZ/IWA_1060, , ,298.15,7.0, , , , , , , potassium maleate, ,3.5.4.9, spectrophotometry, , 
2131, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,6.64, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2132, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,6.64, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2133, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,6.64, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2134, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,6.64, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2135, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,6.64, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2136, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2137, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2138, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2139, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2140, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2141, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2142, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2143, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2144, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2145, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2146, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2147, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2148, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2149, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2150, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2151, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2152, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2153, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2154, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2155, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.07, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2156, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.45, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2157, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.45, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2158, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.45, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2159, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.45, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2160, aconitate hydratase, isocitrate(aq) = citrate(aq),Veloso D.; Guynn R.W.; Oskarsson M.; Veech R.L.; J. Biol. Chem.; 248 4811 (1973).,73VEL/GUY_1167,4718747,,311.15,7.45, , , , , , , phosphate, ,4.2.1.3, enzymatic assay and fluorimetry, , 
2161, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Vidal-Leiria M.; van Uden N.; Biochim. Biophys. Acta; 293 295 (1973) .,73VID/UDE_78, , ,298.15,8.3, , , , , , , tetrapotassium tetraphosphate (0.0167 mol dm-3), ,1.1.1.18, spectrophotometry, , 
2162, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Vidal-Leiria M.; van Uden N.; Biochim. Biophys. Acta; 293 295 (1973) .,73VID/UDE_78, , ,298.15,8.5, , , , , , , tetrapotassium tetraphosphate (0.0167 mol dm-3), ,1.1.1.18, spectrophotometry, , 
2163, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Vidal-Leiria M.; van Uden N.; Biochim. Biophys. Acta; 293 295 (1973) .,73VID/UDE_78, , ,298.15,9.0, , , , , , , tetrapotassium tetraphosphate (0.0167 mol dm-3), ,1.1.1.18, spectrophotometry, , 
2164, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Vidal-Leiria M.; van Uden N.; Biochim. Biophys. Acta; 293 295 (1973) .,73VID/UDE_78, , ,298.15,9.5, , , , , , , tetrapotassium tetraphosphate (0.0167 mol dm-3), ,1.1.1.18, spectrophotometry, , 
2165, myo-inositol 2-dehydrogenase, myo-inositol(aq) + NAD(aq) = 2-oxo-myo-inositol(aq) + NADH(aq),Vidal-Leiria M.; van Uden N.; Biochim. Biophys. Acta; 293 295 (1973) .,73VID/UDE_78, , ,298.15,9.8, , , , , , , tetrapotassium tetraphosphate (0.0167 mol dm-3), ,1.1.1.18, spectrophotometry, , 
2166, glucose-6-phosphate dehydrogenase," D-glucose 6-phosphate(aq) + NADP(aq) = D-glucono-1,5-lactone 6-phosphate(aq) + NADPH(aq)",Wurster B.; Hess B.; Hoppe-Seyler's Z. Physiol. Chem.; 354 407 (1973).,73WUR/HES_164,4279207,10.1515/bchm2.1973.354.1.407,298.15,7.6, , , , , , , imidazole (0.050 mol dm-3) + HCl, ,1.1.1.49, spectrophotometry, , 
2167, _-phosphoglucomutase, Î²-D-glucose 1-phosphate(aq) = Î²-D-glucose 6-phosphate(aq),Belocopitow E.; Marechal L.R.; Eur. J. Biochem.; 46 631 (1974).,74BEL/MAR_1409,4212162,10.1111/j.1432-1033.1974.tb03659.x,310.15,7.0, , , , , , , Hepes (0.050 mol dm-3), ,5.4.2.6, spectrophotometry, , 
2168, uridine phosphorylase, uridine(aq) + orthophosphate(aq) = uracil(aq) + Î±-D-ribose 1-phosphate(aq),Bose R.; Yamada E.W.; Biochemistry; 13 2051 (1974).,74BOS/YAM_471,4826883,10.1021/bi00707a008,310.15,7.4, , , , , , , Tris or glycylglycine, ,2.4.2.3, spectrophotometry, , 
2169, uridine phosphorylase, uridine(aq) + orthophosphate(aq) = uracil(aq) + Î±-D-ribose 1-phosphate(aq),Bose R.; Yamada E.W.; Biochemistry; 13 2051 (1974).,74BOS/YAM_471,4826883,10.1021/bi00707a008,310.15,8.2, , , , , , , Tris or glycylglycine, ,2.4.2.3, spectrophotometry, , 
2170, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,283.75,7.673, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2171, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,283.75,7.680, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2172, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,283.75,7.691, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2173, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,290.50,7.646, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2174, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,290.50,7.658, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2175, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,293.40,7.635, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2176, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,307.75,7.571, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2177, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,307.75,7.584, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2178, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,307.75,7.605, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2179, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,315.95,7.528, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2180, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,315.95,7.545, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2181, alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_15, , ,315.95,7.568, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2182, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,282.45,7.650, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2183, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,282.55,7.621, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2184, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,282.65,7.621, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2185, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,285.55,7.653, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2186, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,285.65,7.653, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2187, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,285.85,7.653, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2188, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,286.10,7.663, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2189, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,298.75,7.581, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2190, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,309.95,7.548, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2191, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,310.15,7.552, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2192, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,310.35,7.547, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2193, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,311.35,7.546, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2194, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,313.75,7.516, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2195, alcohol dehydrogenase, 2-propanol(aq) + NAD(aq) = acetone(aq) + NADH(aq),Burton K.; Biochem. J.; 143 365 (1974).,74BUR_31,4156827,10.1042/bj1430365,314.85,7.565, , , , , , , phosphate (0.005 mol dm-3), ,1.1.1.1, spectrophotometry, , 
2196," 3',5'-cyclic-nucleotide phosphodiesterase", adenosine 3':5'-(cyclic)phosphate(aq) + H2O(l) = AMP(aq),Cheung W.Y.; Patrick S.M.; Pennington S.N.; Int. J. Biochem.; 5 311 (1974).,74CHE/PAT_837, , ,298.15,7.8, , , , ,-61.1, , phosphate (0.040 mol dm-3), ,3.1.4.17, calorimetry, , 
2197, nucleoside deoxyribosyltransferase, 2'-deoxyinosine(aq) + adenine(aq) = 2'-deoxyadenosine(aq) + hypoxanthine(aq),Danzin C.; Cardinaud R.C.; Eur. J. Biochem.; 48 255 (1974).,74DAN/CAR_473,4548670,10.1111/j.1432-1033.1974.tb03763.x,313.15,6.0, , , , , , , phosphate (0.1 mol dm-3), ,2.4.2.6, spectrophotometry, , 
2198, D-arabino-3-hexulose phosphate formaldehyde lyase, D-arabino-3-hexulose 6-phosphate(aq) = D-ribulose 5-phosphate(aq) + formaldehyde(aq),Ferenci T.; Strfm T.; Quayle J.R.; Biochem. J.; 144 477 (1974).,74FER/STR_1112, , ,303.15,7.0,4.0E-5, , , , , , phosphate (0.05 mol dm-3), ,4.1.2.-, enzymatic assay and spectrophotometry, , 
2199, phospho-3-hexuloisomerase, D-arabino-3-hexulose 6-phosphate(aq) = D-fructose 6-phosphate(aq),Ferenci T.; Strfm T.; Quayle J.R.; Biochem. J.; 144 477 (1974).,74FER/STR_1380,4219834,10.1042/bj1440477,303.15,7.0, , , , , , , phosphate (0.050 mol dm-3), ,5.3.1.-, enzymatic assay and spectrophotometry, , 
2200, xylose isomerase, D-glucose(aq) = D-fructose(aq),Fratzke A.R.; Lee Y.Y.; Tsao G.T.; Ges Verfahrenstechnik und Chem./AICLE Jt. Meeting; Vol. 4; Munich Germany (1974).,74FRA/LEE_1306, , ,323.15,7.0, , , , , , , _-glycerophosphate (0.05 mol dm-3), ,5.3.1.5, , , 
2201, UDPglucuronate 4-epimerase, UDP-D-glucuronate(aq) = UDP-D-galacturonate(aq),Gaunt M.A.; Maitra E.S.; Ankel H.; J. Biol. Chem.; 249 2366 (1974).,74GAU/MAI_1271,4150793,,298.15,7.5, , , , , , , Tris (0.1 mol dm-3) + HCl, ,5.1.3.6, radioactivity, , 
2202, phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) = Î±-D-glucose 6-phosphate(aq),Guynn R.W.; Veloso D.; Lawson J.W.R.; Veech R.L.; Biochem. J.; 140 369 (1974).,74GUY/VEL_1404, , ,311.15,7.04, , , , , , , Tris + HCl, ,5.4.2.2, enzymatic assay and spectrophotometry,0.25, 
2203, UTP-glucose-1-phosphate uridylyltransferase, UTP(aq) + Î±-D-glucose 1-phosphate(aq) = pyrophosphate(aq) + UDPglucose(aq),Guynn R.W.; Veloso D.; Lawson J.W.R.; Veech R.L.; Biochem. J.; 140 369 (1974).,74GUY/VEL_692,4374936,10.1042/bj1400369,311.15,7.07, , , , , , , Tris + HCl, ,2.7.7.9, enzymatic assay and spectrophotometry,0.25, 
2204, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,6.99, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2205, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,7.00, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2206, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,7.00, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2207, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,7.00, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2208, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,7.00, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2209, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,298.15,7.07, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2210, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,311.15,6.89, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
2211, acetate-CoA ligase, ATP(aq) + acetate(aq) + CoA(aq) = AMP(aq) + diphosphate(aq) + acetyl-CoA(aq),Guynn R.W.; Webster L.T. Jr.; Veech R.L.; J. Biol. Chem.; 249 3248 (1974).,74GUY/WEB_1434,4275341,,311.15,6.89, , , , , , , , ,6.2.1.1, spectrophotometry and enzymatic assay,0.25, 
